ID,Cat Name (Alt),Evolved Name / True form,English Release / Obtain Status
X,God Cat,N/A,Initial - require 2000 XP
0,Cat,Macho-cat / Mohawk-cat,Unlocked from initial
1,Tank Cat,Wall cat / Eraser Cat,Progress story mode (stage 1) - require 500 XP to unlock
2,Axe Cat,Brave Cat / Dark Knight Cat,Progress story mode (stage 3) - require 2000 XP to unlock
3,Gross Cat,Sexy Legs Cat / Macho Legs Cat,Progress story mode (stage 6) - require 3000 XP to unlock
4,Cow Cat,Giraffe Cat / Lion Cat,Progress story mode (stage 9) - require 4000 XP to unlock
5,Bird Cat,UFO Cat / The Flying Cat,Progress story mode - require 5000 XP to unlock
6,Fish Cat,Whale Cat / Island Cat,Progress story mode - require 6000 XP to unlock
7,Lizard Cat,Dragon Cat / King Dragon Cat,Progress story mode - require 7000 XP to unlock
8,Titan Cat,Mythical Titan Cat / Jamiera Cat,Progress story mode - require 8000 XP to unlock
9,Actress Cat,Mother Cat / Beefcake Cat,Progress story mode (stage 7) - require 150 Cat Food to unlock
10,Kung Fu Cat,Drunken Master Cat/ Dancer Cat,Progress story mode (stage 36) - require 240 Cat Food to unlock
11,Mr.?,Super Mr. / Hyper Mr.?,Progress story mode - require 160 Cat Food to unlock
12,Bondage Cat,Bondage CatNEO/ Ultimate Bondage Cat,Progress story mode - require 150 Cat Food to unlock
13,Dom Cat,Executioner/ Dark Lazer,Progress story mode - require 150 Cat Food to unlock
14,Cats in a Box,Cat Gang / Heavy Assault C.A.T,Progress story mode - require 90 Cat Food to unlock
15,Panties Cat,Leaf Cat/ Lollycat,Progress story mode - require 90 Cat Food to unlock
16,Moneko,MISS Moneko,Progress story mode - unlock by friend code
17,Tricycle Cat,Wild Cat/ Unicycle Cat,Daily Login Reward
18,Ninja Cat,Ninja Frog Cat / Flying Ninja Cat,Progress story mode (stage 6) - require 50 Cat Food to unlock
19,Zombie Cat,Devil Cat / Skelecat,Progress story mode - require 120 Cat Food to unlock
20,Samurai Cat,Knight Cat / Pastry Cat,Progress story mode - require 90 Cat Food to unlock
21,Sumo Cat,Madame the Sumo/ Riceball Cat,Progress story mode - require 150 Cat Food to unlock
22,Boogie Cat,Samba Cat / Gato Amigo,Progress story mode - require 90 Cat Food to unlock
23,Skirt Cat,Tights Cat / Loincloth Cat,Progress story mode - require 90 Cat Food to unlock
24,Valkyrie Cat,Great Valkyrie Cat,Progress story mode - complete?chapter 2?for the first time
25,Bahamut Cat,Crazed Bahamut Cat,Progress story mode - complete?chapter 3?for the first time
26,Princess Punt (Kerihime),,"N/A, graphic and official EN description in-data"
27,Cat Princess,,"N/A, graphic and official EN description in-data"
28,Capsule Cat,,"N/A, graphic and official EN description in-data"
29,Masked Cat,,"N/A, graphic and official EN description in-data"
30,Bodhisattva Cat,Avalokitesvara Cat,Available in rare gacha
31,Delinquent Cat,Angry Delinquent Cat,Available in rare gacha
32,Hip hop Cat,Dancing Flasher Cat,Available in rare gacha
33,Kotatsu Cat,Sadako Cat,Available in rare gacha
34,Nekoluga,Unknown Cat,Available in rare gacha - event limited
35,Nerd Cat,Hacker Cat,Available in rare gacha
36,Swimmer Cat,Butterfly Cat,Available in rare gacha
37,Pogo Cat,Masai Cat,Available in rare gacha
38,Wheel Cat,Solar Cat,Available in rare gacha
39,Apple Cat,Face Cat,Available in rare gacha
40,Bath Cat,Sexy Bathtub Cat,Available in rare gacha
41,Salon Cat,Paris Cat,Available in rare gacha
42,Ice Cat,Ice Queen Cat,Available in rare gacha - event limited
43,Cat Machine,Cat Machine Mk2,Available in rare gacha - event limited
44,Lesser demon Cat,Greater Demon Cat,Available in rare gacha - event limited
45,Geisha Cat,,"N/A, Graphic in-data, no description"
46,Jurassic Cat,Jurassic Cat Sitter,Available in rare gacha
47,Viking Cat,Thor Cat,Available in rare gacha
48,Pirate Cat,Captain Cat,Available in rare gacha
49,Thief Cat,Phantom Thief Cat,Available in rare gacha
50,Bishop Cat,Monk Cat,Available in rare gacha
51,Fortune Teller Cat,Fisherman Cat,Available in rare gacha
52,Shaman Cat,Necromancer Cat,Available in rare gacha
53,Evangelist Cat,Filibuster Cat,Obtain by clearing legend mode (?)
54,Type 10,,"N/A, Graphic in-data. no description"
55,Witch Cat,Socreress Cat,Available in rare gacha
56,Archer Cat,Cupid Cat,Available in rare gacha
57,Marauder Cat,Berserker Cat,Available in rare gacha - event limited
58,Swordsman Cat,Sword Master Cat,Available in rare gacha
59,Baby Cat,Cat Babies,Available in rare gacha - event limited
60,Bronze Cat,Michaelangelo Cat,Obtain as drop in time-limited stage
61,Sushi Cat,Fried Shrimp Cat,Available in rare gacha
62,Vending Machine Cat,Vending Machine Cat MkII,"N/A, Graphic and Description in-data"
63,Sports Day Cat,Kidnapper Cats,Obtain as drop in time-limited event
64,Swordsman,,"N/A, graphic in data, missing description"
65,Cow Princess,,"N/A, graphic in data, missing description"
66,KHM48,,"N/A, graphic in data, missing description"
67,Chibigau,,"N/A, graphic in data, missing description"
68,Enforcer,,"N/A, graphic in data, missing description"
69,Sleeping Beauty,,"N/A, graphic in data, missing description"
70,Salaryman Cat,Grudge Cat,Obtain as item drop in time-limited event
71,Sanada Yukimura,Wargod Yukimura,Available in rare gacha - event limited
72,Maeda Keiji,Wargod Keiji,Available in rare gacha - event limited
73,Oda Nobunaga,Wargod Nobunaga,Available in rare gacha - event limited
74,Reindeer Fish Cat,Sashimi Cat,Obtain as drop in time-limited event
75,Windy,Windy type?α,Available in rare gacha - event limited
76,Thundia,Thundia type?β,Available in rare gacha - event limited
77,Droid Cat,Droid Cat Mk2,Obtain as drop in time-limited event
78,Space Cat,Major Space Cat,Obtain as drop in time-limited event
79,Adult Cat,Sick cat,Obtain as drop in time-limited event
80,Evil Cat,Gentleman Cat,Obtain as drop in time-limited event
81,Doll Cats,Cat-o-tron,Obtain as drop in time-limited event
82,Blue Ninja Cat,,"N/A, Graphic in-data, missing description"
83,Sodom,Earth King Sodom,Available in rare gacha - event limited
84,Megidora,Holy Dragon Megidora,Available in rare gacha - event limited
85,Vars,Dragon King Vars,Available in rare gacha - event limited
86,Kamukura,God Dragon Kamukura,Available in rare gacha - event limited
87,Raiden,Dragonslayer Raiden,Available in rare gacha - event limited
88,Rope Jump Cat,Pair Rope Jump Cat,Obtain as drop in time-limited event
89,Nimue,Neutralization Type Nimue,"N/A, Graphic in-data, missing description"
90,Monkey King,SSS Monkey King,"N/A, Graphic in-data, missing description"
91,Crazed Cat,Crazed Macho Cat,Obtain as drop in time-limited event
92,Crazed Tank Cat,Crazed Wall Cat,Obtain as drop in time-limited event
93,Crazed Axe Cat,Crazed Brave Cat,Obtain as drop in time-limited event
94,Crazed Gross Cat,Crazed Sexy Legs Cat,Obtain as drop in time-limited event
95,Crazed Cow Cat,Crazed Giraffe Cat,Obtain as drop in time-limited event
96,Crazed Bird Cat,Crazed UFO Cat,Obtain as drop in time-limited event
97,Crazed Fish Cat,Crazed Whale Cat,Obtain as drop in time-limited event
98,Crazed Lizard Cat,Crazed Dragon Cat,Obtain as drop in time-limited event
99,Crazed Titan Cat,Crazed M. Titan Cat,Obtain as drop in time-limited event
100,Maiden Cat,,Obtain as drop in time-limited event
101,Clone Elle,,"N/A, Graphic in-data, missing description"
102,Red Marron,,"N/A, Graphic in-data, missing description"
103,Singer Cat,,"N/A, Graphic in-data, missing description"
104,Koi Cat,,Obtain as drop in time-limited event
